     Process Id   Arrival Time     Burst Time      Comp Time  Turnaround Time   Waiting Time  Response Time
              0             42              3            133             91             88             88
              1             35              1            109             74             73             73
              2             70              5            232            162            157            157
              3             79              4            263            184            180            180
              4             63              5            206            143            138            138
              5              6              1             16             10              9              9
              6             82              3            266            184            181            181
              7             62              2            199            137            135            135
              8             96              3            304            208            205            205
              9             28              2             83             55             53             53
             10             92              5            292            200            195            195
             11              3              4             11              8              4              4
             12             93              3            297            204            201            201
             13             22              2             58             36             34             34
             14             19              1             49             30             29             29
             15             48              2            153            105            103            103
             16             72              4            245            173            169            169
             17             70              3            235            165            162            162
             18             68              5            222            154            149            149
             19             36              5            114             78             73             73
             20              4              2             14             10              8              8
             21             23              4             67             44             40             40
             22             74              5            250            176            171            171
             23             42              2            135             93             91             91
             24             54              4            176            122            118            118
             25             48              5            158            110            105            105
             26             63              3            209            146            143            143
             27             38              5            119             81             76             76
             28             24              2             71             47             45             45
             29             30              4             94             64             60             60
             30             17              1             48             31             30             30
             31             91              3            282            191            188            188
             32             89              2            279            190            188            188
             33             41              3            130             89             86             86
             34             65              4            214            149            145            145
             35             47              1            151            104            103            103
             36             91              5            287            196            191            191
             37             71              1            236            165            164            164
             38              7              2             18             11              9              9
             39             94              4            301            207            203            203
             40             30              4             98             68             64             64
             41             85              5            276            191            186            186
             42             57              1            194            137            136            136
             43             67              2            216            149            147            147
             44             32              4            104             72             68             68
             45             45              5            145            100             95             95
             46             27              4             81             54             50             50
             47             38              4            123             85             81             81
             48             19              3             52             33             30             30
             49             30              2            100             70             68             68
             50             34              1            108             74             73             73
             51             40              4            127             87             83             83
             52              5              1             15             10              9              9
             53             78              2            255            177            175            175
             54             74              2            252            178            176            176
             55             22              1             59             37             36             36
             56             25              3             74             49             46             46
             57             71              5            241            170            165            165
             58             78              4            259            181            177            177
             59             98              3            311            213            210            210
             60             87              1            277            190            189            189
             61             62              2            201            139            137            137
             62             56              3            188            132            129            129
             63             56              5            193            137            132            132
             64             32              3            107             75             72             72
             65             51              1            172            121            120            120
             66             42              5            140             98             93             93
             67             67              1            217            150            149            149
             68              8              2             21             13             11             11
             69              8              3             24             16             13             13
             70             58              3            197            139            136            136
             71             54              4            180            126            122            122
             72             46              5            150            104             99             99
             73             10              4             30             20             16             16
             74             22              4             63             41             37             37
             75             23              2             69             46             44             44
             76              7              1             19             12             11             11
             77             14              4             42             28             24             24
             78              1              2              3              2              0              0
             79             63              1            210            147            146            146
             80             11              5             35             24             19             19
             81             25              3             77             52             49             49
             82             49              4            162            113            109            109
             83             96              2            306            210            208            208
             84              3              1             12              9              8              8
             85             92              2            294            202            200            200
             86             75              1            253            178            177            177
             87             97              2            308            211            209            209
             88             49              5            167            118            113            113
             89             69              5            227            158            153            153
             90             82              5            271            189            184            184
             91             54              5            185            131            126            126
             92             19              4             56             37             33             33
             93              1              4              7              6              2              2
             94             28              3             86             58             55             55
             95             29              4             90             61             57             57
             96             49              4            171            122            118            118
             97              8              2             26             18             16             16
             98             11              3             38             27             24             24
             99             14              5             47             33             28             28
