Process Id		Arrival Time		Burst Time		Completion Time		Turn Around Time		Waiting Time		Response Time
         7		           1		         2		             17		              16		          14		            4
         1		           4		         1		             30		              26		          25		           25
        10		           1		         5		             54		              53		          48		            6
        12		           2		         3		             62		              60		          57		           25
         8		           5		         3		             64		              59		          56		           26
        17		           9		         3		             78		              69		          66		           38
         4		           2		         5		             86		              84		          79		           21
         2		           9		         5		            102		              93		          88		           36
         6		           1		         8		            103		             102		          94		            2
        16		           1		         9		            106		             105		          96		           10
        19		           5		         5		            109		             104		          99		           28
         9		           7		         7		            110		             103		          96		           28
        14		           8		         6		            115		             107		         101		           35
         5		           5		         6		            121		             116		         110		           25
         3		           8		         9		            126		             118		         109		           33
        18		           7		        10		            133		             126		         116		           32
         0		           1		         8		            141		             140		         132		            0
