Milli Seconds(ms)			Process Id			Status
           2ms			        0			    arrived
           3ms			        0			    running
           4ms			        0			       exit
           4ms			        6			    arrived
           5ms			        6			    running
           6ms			        6			    running
           7ms			        6			    running
           8ms			        6			    running
           9ms			        6			    running
          10ms			        6			    running
          11ms			        6			       exit
          11ms			        7			    arrived
          12ms			        7			    running
          13ms			        7			       exit
          13ms			        4			    arrived
          14ms			        4			    running
          15ms			        4			    running
          16ms			        4			    running
          17ms			        4			    running
          18ms			        4			    running
          19ms			        4			    running
          20ms			        4			       exit
          20ms			        5			    arrived
          21ms			        5			    running
          22ms			        5			    running
          23ms			        5			    running
          24ms			        5			    running
          25ms			        5			    running
          26ms			        5			       exit
          26ms			        9			    arrived
          27ms			        9			    running
          28ms			        9			    running
          29ms			        9			    running
          30ms			        9			    running
          31ms			        9			       exit
          31ms			        2			    arrived
          32ms			        2			    running
          33ms			        2			    running
          34ms			        2			       exit
          34ms			        1			    arrived
          35ms			        1			    running
          36ms			        1			    running
          37ms			        1			    running
          38ms			        1			    running
          39ms			        1			    running
          40ms			        1			       exit
          40ms			        8			    arrived
          41ms			        8			       exit
          41ms			        3			    arrived
          42ms			        3			       exit
